nif,distrito,localidade,entidade,estabelecimento,morada,codigo_postal,tipificacao,telefone,email,lat,lon,urgencia,ambulatorio,rx,imagiologia,fisioterapia,cirurgia,internamento
512088187,Açores,Angra do Heroísmo,"Centro Endoscopia Angra, Lda",Angra do Heroísmo - Centro Endoscopia Angra,"Caminho para Belém, nº18-20, Terra Chã",9700-701,Fisioterapia,None,consultas@vitalclinica.pt,38.672493,-27.246857,0,0,0,0,1,0,0
512068496,Açores,Angra do Heroísmo,S Ribeiro Prestação de Serviços Medicos LDA,Angra do Heroísmo - Drª. Sofia Ribeiro,Rua Maria Angelina Turlu nº 20,9760-585,Especialidade,None,sofiaribeirooftalmologista@hotmail.com,,,0,1,0,0,0,0,0
166622893,Açores,Angra do Heroísmo,Fernando Artur Conde Vieira Pimentel,Angra do Heroísmo - Fernando Pimentel,"Caminho para Belém, 18",9700-701,Ambulatório,None,consultas@vitalclinica.pt,,,0,1,0,0,0,0,0
508878578,Açores,Angra do Heroismo,"Fisiolopes - Centro de Fisioterapia, Lda",Angra do Heroismo - Fisiolopes,Rua Madre de Deus n.º 23,9700-113,Fisioterapia,None,angra@fisiolopes.pt,38.65641,-27.22383,0,0,0,0,1,0,0
512041580,Açores,Praia da Vitória,"Fisiopraia - Centro de Fisioterapia, Lda - Biscoitos",Biscoitos - Fisiopraia,Largo Francisco Brum,9760-051,Fisioterapia,None,biscoitos@fisiopraia.pt,,,0,0,0,0,1,0,0
510603262,Açores,Santa Cruz da Graciosa,"Fisiograciosa, Lda",Graciosa -Fisiograciosa,"Av. Mouzinho de Albuquerque, 21",9880-320,Fisioterapia,None,fisiograciosa@gmail.com,,,0,0,0,0,1,0,0
512090157,Açores,Horta,Click Saúde e Bem-Estar,Horta - Click Saúde e Bem Estar,"Estrada Regional, 2 2º, Santa Bárbara",9900-045,Fisioterapia,None,marcio.d.alberto@gmail.com,38.548996,-28.651273,0,0,0,0,1,0,0
512101418,Açores,Horta,"Rui Mano, Serviços Médicos, Lda",Horta - Dr. Rui Mano,"Rua 8 de Setembro, 17",9900-401,Ambulatório,None,ruimano05@gmail.com,,,0,1,0,0,0,0,0
510324223,Açores,Lajes do Pico,"António Carrillho Simas Santos, Unipessoal, Lda.",Lages do Pico - Dr. Simas Santos,Rua Capitão Mor Garcia Madruga 13,9930-127,Ambulatório,None,geral@simassantos.pt,38.396873,-28.232215,0,1,0,0,0,0,0
510447694,Açores,Lajes do Pico,"Centro de Fisioterapia Rosa e Silva, Lda.",Lajes do Pico - Physioemotion,Estrada Regional nº 28 A Silveira,9930-177,Fisioterapia,None,geral@physioemotion.pt,38.417423,-28.286168,0,0,0,0,1,0,0
